gene,A1,A2,A3,A4,I1,I2,I3,I4,L1,L2,L3,L4,S1,S2,S3,S4
Gene1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene6,6,7,8,6,6,13,11,10,4,1,3,1,9,10,10,12
Gene7,3,4,8,6,8,9,7,5,18,6,52,3,1,6,1,1
Gene8,8,11,7,10,21,18,19,20,0,0,6,1,29,30,31,38
Gene9,1,1,1,1,1,1,3,4,0,0,0,0,2,4,2,3
Gene10,11,15,12,10,9,19,17,17,9,0,13,2,17,20,18,14
Gene11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Gene12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Gene13,4,3,1,4,6,5,15,14,22,3,33,7,9,19,18,17
Gene14,1,1,0,1,3,1,1,2,2,0,4,0,3,3,2,3
Gene15,0,2,1,1,1,2,1,1,0,0,0,0,0,2,0,2
Gene16,2,1,0,2,2,7,2,4,13,0,9,0,4,5,4,2
Gene17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene18,2,3,1,3,2,3,4,7,1,0,5,0,7,7,7,8
Gene19,0,0,0,1,1,0,0,0,63,40,59,35,1,2,1,1
Gene20,4046,4119,3752,4102,3844,2961,2083,1990,2852,5765,1786,6686,1909,1797,1578,1842
Gene21,1,1,0,1,1,4,8,6,1,0,6,0,11,10,6,7
Gene22,19,18,16,16,24,26,20,17,11,7,13,5,19,20,16,16
Gene23,0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0
Gene24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gene26,0,0,0,1,1,0,0,0,1,4,1,0,0,0,0,0
Gene27,1,1,2,2,3,3,4,5,3,0,4,1,5,4,3,5
Gene28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene29,1,1,1,2,1,2,2,2,1,0,4,0,1,2,1,1
Gene30,7,11,9,8,5,6,9,8,5,0,6,1,4,3,3,4
Gene31,0,0,0,0,1,1,2,2,1,0,1,0,1,2,1,1
Gene32,3,2,1,1,1,0,0,0,11,48,4,43,1,0,0,1
Gene33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene34,8,8,11,10,8,7,6,5,0,0,0,0,3,3,5,3
Gene35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene36,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Gene37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene38,0,0,0,1,0,1,0,0,1,0,3,1,1,0,1,0
Gene39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene41,0,1,0,2,0,0,1,0,0,2,0,0,1,0,3,2
Gene42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene48,2,2,1,1,0,3,4,5,0,0,2,1,3,5,2,3
Gene49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gene50,3,4,1,3,2,3,2,2,0,0,0,0,2,6,3,1
Gene51,12,12,13,11,30,27,38,38,40,19,33,12,37,38,33,24
Gene52,2,3,1,3,6,4,2,3,2,1,1,1,1,6,3,3
Gene53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
