gene,A1,A2,A3,A4,I1,I2,I3,I4,L1,L2,L3,L4,S1,S2,S3,S4
Gene1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gene5,6.22E-29,1.08E-23,2.97E-29,2.67E-30,7.87E-20,3.17E-26,2.40E-31,9.58E-22,0,0,0,4.37E-14,1.42E-27,2.71E-22,9.56E-30,5.36E-21
Gene6,6.463546,7.024963,8.068306,6.403138,5.531364,13.49422,11.26409,10.03563,3.801837,0.960365,3.442411,0.9947908,8.915149,9.500019,9.97377,12.1248
Gene7,3.083049,4.193679,7.908839,5.680398,8.02172,8.649344,6.852257,5.218028,17.88596,5.643255,51.99499,3.378863,1.289835,6.250418,1.346328,1.032744
Gene8,8.367562,11.04827,6.712554,9.949665,21.04359,18.23145,19.17714,19.97899,0.2079664,0,6.32714,1.453602,29.15405,30.39923,30.73381,38.08183
Gene9,0.5013281,1.101665,0.5666938,1.432928,1.359592,1.444863,2.555137,3.608018,0,0,0,0,2.023949,3.533732,1.848751,2.584905
Gene10,10.6341,14.79551,11.78117,9.659793,8.803582,18.59115,17.18548,16.87158,9.28467,0,13.31656,2.443945,16.72106,20.26892,17.95901,14.14736
Gene11,0.06612998,0,0,0,0.1442719,0.1227551,0.2347576,0.5403982,0,0,0,0,0.370914,0.2074154,0.07910035,0.9326289
Gene12,0.4762693,0.9770625,0.2070274,0.003128568,0.9352472,0.3128313,7.45E-10,0.1624135,7.38E-11,2.13E-11,3.45E-12,7.69E-18,4.52E-06,2.58E-14,0.116369,1.086538
Gene13,3.620924,2.664364,1.21832,3.62847,5.749243,5.281423,14.8419,13.7142,22.43943,2.866831,32.89288,6.922841,9.383716,19.12649,18.27487,17.46114
Gene14,0.8616773,0.6114953,9.81E-21,0.8967919,3.23478,1.46986,0.6636721,1.506693,1.789727,0.1668585,3.853496,2.52E-19,3.330193,2.590415,1.508133,2.564685
Gene15,0,1.705863,0.7222234,1.228231,0.657184,2.260541,1.178103,1.101972,0,0,0,0,0,2.228657,0.3870411,1.672622
Gene16,1.54791,1.318594,0.2795715,2.165107,1.910515,6.959644,1.602304,4.314277,13.33418,0,8.797105,0,3.615401,5.193459,4.427798,2.000337
Gene17,0,0,0,5.90E-28,0,0,0,3.53E-31,0,0,2.46E-23,0,3.69E-19,0,3.29E-24,0
Gene18,2.261073,2.811183,1.251258,2.814026,2.415252,2.99952,4.436167,6.633901,1.130323,0.1014213,4.625953,0,6.836724,7.147697,7.01208,8.298747
Gene19,0.04674583,0.3261837,0.4038511,0.8665894,0.7232374,0.4207772,0.203002,0.2542478,63.3573,39.85462,58.69141,34.70006,0.6959416,1.613175,1.057971,1.200431
Gene20,4046.112,4118.914,3751.917,4101.658,3843.861,2961.095,2083.494,1990.045,2852.02,5764.734,1785.827,6686.441,1908.537,1796.578,1578.303,1841.804
Gene21,0.6179298,0.6109356,0.2438043,0.5308719,0.7589414,4.283161,7.933021,5.886904,1.448186,0,6.380304,0,10.58213,9.555515,5.932161,7.441198
Gene22,18.58564,18.12883,15.83391,16.1292,24.40496,25.77715,20.48597,17.37597,10.58419,6.877748,13.41599,5.423123,18.93374,19.99714,16.15748,15.93389
Gene23,0.4117422,0.4079663,0.146338,1.69E-23,5.05E-30,0.2468874,0.8486182,0.2041058,3.30052,0.4469194,5.016395,0.3932183,0.1507356,0.2840395,0.324363,0.1372
Gene24,6.97E-20,1.21E-26,1.27E-22,1.63E-21,2.86E-08,9.17E-18,5.55E-15,2.82E-23,2.40E-19,5.41E-14,1.41E-21,1.90E-18,6.75E-09,1.25E-19,6.97E-20,3.79E-17
Gene25,0.5998861,0.6322141,0,0,0.4525273,0.5694219,0.1810021,0.4506475,0,0,0,0,0,0.4251683,0,0.2057267
